URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,68,26,0.446809,0.052514,22.375,0.301676,9.07067,22.375,540,1790,1.915642,932,5.800559
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,54,28,0.317073,0.058115,17,0.197023,6.878809,17,278,1411,1.642098,600,5.007796
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,65,29,0.382979,0.055294,20,0.274706,8.109882,20,467,1700,1.837059,874,5.54
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,54,15,0.565217,0.041818,17.1875,0.20303,6.956212,17.1875,335,1650,1.661818,683,4.917576
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,51,21,0.416667,0.041403,19.76136,0.216791,7.991262,19.76136,377,1739,1.733755,759,5.250144
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,41,16,0.438596,0.043981,19.63636,0.212963,7.939731,19.63636,276,1296,1.729938,553,5.176698
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,20,9,0.37931,0.039456,15.6383,0.187755,6.330421,15.6383,138,735,1.654422,311,5.22449
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,PageNotFound,PageNotFound,PageNotFound,PageNotFound,PageNotFound,PageNotFound,PageNotFound,PageNotFound,PageNotFound,PageNotFound,PageNotFound,PageNotFound,PageNotFound
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,34,9,0.581395,0.059229,19.62162,0.194215,7.926335,19.62162,141,726,1.625344,269,4.955923
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,68,31,0.373737,0.045897,25.0814,0.223459,10.12194,25.0814,482,2157,1.736208,934,5.05007
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,51,43,0.085106,0.047571,17.03448,0.242915,6.910959,17.03448,480,1976,1.808198,798,5.348178
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,39,15,0.444444,0.045416,20.5,0.285955,8.314382,20.5,340,1189,1.940286,672,5.621531
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,28,20,0.166667,0.039024,13.97727,0.227642,5.681966,13.97727,280,1230,1.719512,546,5.179675
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,61,23,0.452381,0.049675,20.62195,0.194559,8.326604,20.62195,329,1691,1.633944,745,4.992312
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,59,18,0.532468,0.046951,18.63636,0.231098,7.546984,18.63636,379,1640,1.737195,789,5.24939
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,20,0,1,0.039683,22.90909,0.285714,9.277922,22.90909,144,504,1.910714,242,5.569444
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,101,37,0.463768,0.076327,200.8889,0.209071,80.43918,200.8889,378,1808,1.685841,731,4.819137
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,27,0,1,0.028243,16.48276,0.275105,6.703145,16.48276,263,956,1.838912,421,5.320084
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,12,6,0.333333,0.025,17.14286,0.284722,6.971032,17.14286,205,720,1.865278,370,5.644444
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,5,3,0.25,0.025397,24.23077,0.231746,9.785006,24.23077,73,315,1.692063,140,5.530159
57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,PageNotFound,PageNotFound,PageNotFound,PageNotFound,PageNotFound,PageNotFound,PageNotFound,PageNotFound,PageNotFound,PageNotFound,PageNotFound,PageNotFound,PageNotFound
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,33,60,-0.290322578,0.067636364,23.70689655,0.232,9.575558621,23.70689655,319,1375,1.730181818,570,5.229090909
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,19,9,0.357143,0.038889,22.5,0.211111,9.084444,22.5,152,720,1.652778,325,5.101389
60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,63,24,0.448276,0.045008,17.25893,0.202276,6.984482,17.25893,391,1933,1.709778,871,4.990688
61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,43,1,0.954545,0.065476,15.27273,0.25,6.209091,15.27273,168,672,1.745536,279,5.267857
62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,6,1,0.714286,0.018667,20.83333,0.210667,8.4176,20.83333,79,375,1.808,144,5.133333
63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,25,6,0.612903,0.027217,21.49057,0.214223,8.681916,21.49057,244,1139,1.654083,430,4.987709
64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,21,8,0.448276,0.047154,24.6,0.282927,9.953171,24.6,174,615,1.928455,315,5.617886
65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,17,5,0.545455,0.056701,13.37931,0.224227,5.441415,13.37931,87,388,1.850515,156,5.273196
66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,6,0,1,0.03681,14.81818,0.257669,6.03034,14.81818,42,163,1.809816,77,5.509202
67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,21,21,0,0.052109,14.39286,0.177419,5.828111,14.39286,143,806,1.700993,330,4.899504
68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,9,2,0.636364,0.060773,16.45455,0.18232,6.654746,16.45455,33,181,1.629834,68,4.861878
69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,45,14,0.525424,0.050906,16.7971,0.314927,6.844811,16.7971,365,1159,2.003451,601,5.792925
70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,12,13,-0.04,0.047348,15.52941,0.257576,6.314795,15.52941,136,528,1.763258,197,5.208333
71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,20,32,-0.23077,0.049057,20.38462,0.19717,8.232714,20.38462,209,1060,1.684906,458,4.925472
72,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,28,37,-0.13846,0.037769,23.25676,0.262638,9.407758,23.25676,452,1721,1.886694,850,5.503777
73,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,49,22,0.380282,0.040479,24.36111,0.184151,9.818105,24.36111,323,1754,1.672178,665,4.826682
74,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,37,19,0.321429,0.038594,17.27381,0.194349,6.987263,17.27381,282,1451,1.67195,590,5.000689
75,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,21,2,0.826087,0.026048,12.26389,0.187995,4.980754,12.26389,166,883,1.577576,366,4.698754
76,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,45,5,0.8,0.035461,21.36364,0.190071,8.621483,21.36364,268,1410,1.612057,429,4.696454
77,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,21,6,0.555556,0.057692,27.52941,0.228632,11.10322,27.52941,107,468,1.784188,193,4.803419
78,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,40,9,0.632653,0.030779,21.22667,0.255653,8.592928,21.22667,407,1592,1.802136,720,5.276382
79,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,27,54,-0.33333,0.081901,12.3625,0.203236,5.026294,12.3625,201,989,1.723964,382,4.92821
80,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,45,13,0.551724,0.051464,14.63636,0.141083,5.910978,14.63636,159,1127,1.559006,389,4.667258
81,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,22,27,-0.10204,0.041142,20.18644,0.162888,8.139732,20.18644,194,1191,1.54576,464,5.060453
82,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,34,19,0.283019,0.036934,15.10526,0.23554,6.136321,15.10526,338,1435,1.7777,640,5.359582
83,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,27,61,-0.38636,0.084615,12.68293,0.209615,5.157017,12.68293,218,1040,1.732692,406,4.964423
84,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,48,27,0.28,0.047529,23.55224,0.183143,9.494153,23.55224,289,1578,1.577947,643,4.901141
